Departure_Tm_Mnts,O_MSP,O_ATL,O_LAX,D_Sunday,D_Tuesday,D_Wednesady,D_Thursday,D_Friday,D_Saturday,O_Visibility,D_Visibility,Schd_Blk_Tm_Mnt_Ct,Domestic,International,D_June,D_July
1,0,1,0,0,0,0,1,0,0,7,10,198,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,141,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,264,1,0,1,0
2,0,1,0,0,0,1,0,0,0,9,5,59,1,0,1,0
11,0,0,1,0,0,0,0,1,0,10,10,86,1,0,0,1
1,0,1,0,1,0,0,0,0,0,10,10,74,1,0,0,1
-1,1,0,0,0,0,1,0,0,0,10,10,56,1,0,1,0
1,0,1,0,0,0,0,0,0,1,10,10,83,1,0,0,1
0,0,1,0,1,0,0,0,0,0,10,10,248,1,0,0,1
0,1,0,0,0,0,1,0,0,0,10,10,73,1,0,1,0
0,0,1,0,0,0,0,0,0,1,10,10,56,1,0,0,1
2,0,1,0,1,0,0,0,0,0,10,10,280,1,0,0,1
0,1,0,0,0,0,0,0,0,1,10,10,69,1,0,0,1
2,0,1,0,0,0,0,0,0,1,10,10,81,1,0,0,1
0,1,0,0,0,0,0,1,0,0,10,10,168,1,0,1,0
4,0,1,0,0,1,0,0,0,0,10,10,87,1,0,1,0
0,1,0,0,0,0,1,0,0,0,10,10,64,1,0,1,0
0,0,1,0,1,0,0,0,0,0,10,10,143,1,0,0,1
0,1,0,0,0,0,1,0,0,0,10,10,154,1,0,1,0
0,0,1,0,0,0,1,0,0,0,9,10,90,1,0,1,0
0,0,1,0,1,0,0,0,0,0,10,10,76,1,0,0,1
2,0,1,0,0,1,0,0,0,0,10,10,93,1,0,1,0
0,1,0,0,0,0,1,0,0,0,10,10,98,1,0,1,0
0,0,1,0,0,0,0,0,1,0,10,10,53,1,0,0,1
0,0,1,0,0,1,0,0,0,0,10,10,248,1,0,1,0
0,0,1,0,1,0,0,0,0,0,10,10,73,1,0,0,1
0,0,1,0,1,0,0,0,0,0,10,10,79,1,0,0,1
0,1,0,0,0,0,0,1,0,0,10,10,118,1,0,1,0
0,0,0,1,0,0,1,0,0,0,10,10,217,1,0,1,0
8,0,1,0,0,0,0,1,0,0,7,10,129,1,0,1,0
11,0,1,0,0,0,0,0,1,0,10,10,91,1,0,0,1
0,0,0,1,0,0,1,0,0,0,10,10,85,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,10,139,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,10,140,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,143,1,0,1,0
1,0,1,0,1,0,0,0,0,0,10,10,132,1,0,0,1
3,0,1,0,0,0,0,0,0,1,10,10,125,1,0,0,1
0,1,0,0,0,0,0,0,1,0,10,10,146,1,0,0,1
0,0,1,0,0,1,0,0,0,0,10,10,53,1,0,1,0
1,0,1,0,1,0,0,0,0,0,10,10,84,1,0,0,1
1,0,1,0,0,0,0,1,0,0,7,10,205,1,0,1,0
0,1,0,0,0,1,0,0,0,0,10,10,152,1,0,1,0
1,0,1,0,0,0,0,1,0,0,7,10,88,1,0,1,0
0,0,1,0,0,0,0,0,1,0,10,10,71,1,0,0,1
0,1,0,0,1,0,0,0,0,0,10,10,66,1,0,0,1
1,0,1,0,1,0,0,0,0,0,10,10,99,1,0,0,1
0,1,0,0,0,0,0,0,0,1,10,10,171,1,0,0,1
0,0,1,0,0,0,0,0,0,1,10,10,145,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,117,1,0,1,0
0,1,0,0,1,0,0,0,0,0,10,10,118,1,0,0,1
7,1,0,0,0,0,0,0,0,1,10,10,50,1,0,0,1
0,1,0,0,1,0,0,0,0,0,10,10,126,1,0,0,1
1,0,1,0,0,0,0,0,0,1,10,10,83,1,0,0,1
0,0,1,0,1,0,0,0,0,0,10,10,323,1,0,0,1
0,0,1,0,0,1,0,0,0,0,10,10,82,1,0,1,0
0,1,0,0,0,1,0,0,0,0,10,10,73,1,0,1,0
0,1,0,0,0,0,0,1,0,0,10,10,251,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,239,1,0,1,0
0,1,0,0,1,0,0,0,0,0,10,10,81,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,145,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,7,88,1,0,1,0
1,0,1,0,0,0,0,0,1,0,10,10,192,1,0,0,1
0,0,0,1,0,0,0,1,0,0,10,10,123,1,0,1,0
0,0,1,0,0,0,0,0,0,1,10,10,86,1,0,0,1
1,1,0,0,0,0,0,0,1,0,10,10,96,1,0,0,1
0,0,1,0,0,1,0,0,0,0,10,10,68,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,77,1,0,1,0
-1,0,1,0,0,1,0,0,0,0,10,10,81,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,310,1,0,1,0
0,0,1,0,0,0,0,0,1,0,10,10,138,1,0,0,1
1,0,1,0,0,0,1,0,0,0,9,2,52,1,0,1,0
2,0,1,0,0,0,0,0,1,0,10,10,139,1,0,0,1
-1,0,1,0,0,0,1,0,0,0,9,10,70,1,0,1,0
3,0,1,0,0,0,0,0,1,0,10,10,133,1,0,0,1
0,1,0,0,0,0,0,0,0,1,10,10,125,1,0,0,1
1,0,1,0,0,0,0,1,0,0,7,10,81,1,0,1,0
0,0,1,0,0,0,0,1,0,0,7,10,269,1,0,1,0
0,0,1,0,1,0,0,0,0,0,10,10,78,1,0,0,1
0,0,1,0,1,0,0,0,0,0,10,10,129,1,0,0,1
5,1,0,0,0,0,0,0,0,1,10,10,154,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,111,1,0,1,0
3,0,1,0,0,0,0,1,0,0,7,10,139,1,0,1,0
0,1,0,0,0,0,0,0,0,1,10,10,53,1,0,0,1
2,0,1,0,0,0,1,0,0,0,9,10,111,1,0,1,0
-1,0,1,0,0,0,0,0,1,0,10,10,88,1,0,0,1
0,0,1,0,0,0,0,0,0,1,10,10,61,1,0,0,1
2,1,0,0,0,0,1,0,0,0,10,10,154,1,0,1,0
-1,0,1,0,0,0,0,0,0,1,10,10,131,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,140,1,0,1,0
0,0,0,1,0,0,1,0,0,0,10,10,210,1,0,1,0
0,0,1,0,0,1,0,0,0,0,10,2,101,1,0,1,0
0,0,1,0,1,0,0,0,0,0,10,10,76,1,0,0,1
0,0,1,0,0,0,0,0,0,1,10,10,81,1,0,0,1
0,0,1,0,0,0,0,1,0,0,7,10,92,1,0,1,0
